pengirim,penerus,nama file,tanggal dan Waktu
@Nadira_v_30,@Nadira_v_30,大發橫財_1000_261.txt,29-05 19:29
@Nadira_v_30,@Nadira_v_30,5000-2.txt,29-05 19:34
@Nadira_v_30,@Nadira_v_30,5000-2.txt,29-05 19:36
