pengirim,penerus,nama file,tanggal dan Waktu
RIV NEW ERA || CV ON 24JAM,@KazuhaIDBot,ADMIN DIKA MALAM.vcf,30-05 00:23
RIV NEW ERA || CV ON 24JAM,@andika_1909,5.21_1000_5 (1) (1).txt,30-05 00:27
RIV NEW ERA || CV ON 24JAM,@andika_1909,5.21_1000_5 (1) (1).txt,30-05 00:29
RIV NEW ERA || CV ON 24JAM,@andika_1909,5.21_1000_5 (1) (1).txt,30-05 00:31
