pengirim,penerus,nama file,tanggal dan Waktu
@DarkkKnez,@DarkkKnez,5.23发财猫100组8点_1.txt,28-05 20:56
@DarkkKnez,@DarkkKnez,韩国ws_828363_01_09.txt,29-05 23:48
