pengirim,penerus,nama file,tanggal dan Waktu
@andika_1909,@andika_1909,5.21_1000_4 (1) (1).txt,30-05 00:30
@andika_1909,@andika_1909,5.21_1000_4 (1) (1).txt,30-05 00:32
