pengirim,penerus,nama file,tanggal dan Waktu
@velraaaMJ1,@velraaaMJ1,Agoda 活動71.vcf,28-05 06:51
@velraaaMJ1,@velraaaMJ1,Agoda 活動71.txt,28-05 06:54
