pengirim,penerus,nama file,tanggal dan Waktu
@watsaap_agent,@watsaap_agent,8000数据_1 2 (1).txt,28-05 09:39
@watsaap_agent,@watsaap_agent,8000数据_1 2.txt,28-05 09:41
