@bbb00091,@bbb00091,Agoda  YL 62.vcf,28-05 20:53
@bbb00091,@bbb00091,Agoda  YL 63.vcf,28-05 20:53
@bbb00091,@bbb00091,Agoda  YL 64.vcf,28-05 20:53
pengirim,penerus,nama file,tanggal dan Waktu
@bbb00091,@bbb00091,Admin.vcf,28-05 20:53
pengirim,penerus,nama file,tanggal dan Waktu
@bbb00091,@bbb00091,Agoda  YL 61.vcf,28-05 20:53
@bbb00091,@bbb00091,Agoda  YL 65.vcf,28-05 20:53
@bbb00091,@bbb00091,Admin.vcf,28-05 20:54
@bbb00091,@bbb00091,Agoda  YL 61.vcf,28-05 20:54
@bbb00091,@bbb00091,Agoda  YL 64.vcf,28-05 20:54
@bbb00091,@bbb00091,Agoda  YL 65.vcf,28-05 20:54
@bbb00091,@bbb00091,Agoda  YL 62.vcf,28-05 20:54
@bbb00091,@bbb00091,Agoda  YL 63.vcf,28-05 20:54
@bbb00091,@KazuhaIDBot,guguk.vcf,28-05 20:55
@bbb00091,@KazuhaIDBot,guguk_1.vcf,28-05 20:56
@bbb00091,@KazuhaIDBot,guguk_4.vcf,28-05 20:56
@bbb00091,@KazuhaIDBot,guguk_2.vcf,28-05 20:56
@bbb00091,@KazuhaIDBot,guguk_3.vcf,28-05 20:56
@bbb00091,@KazuhaIDBot,guguk_6.vcf,28-05 20:56
@bbb00091,@KazuhaIDBot,guguk_5.vcf,28-05 20:56
@bbb00091,@KazuhaIDBot,guguk_1.vcf,28-05 20:57
@bbb00091,@KazuhaIDBot,guguk_2.vcf,28-05 20:57
@bbb00091,@KazuhaIDBot,guguk_4.vcf,28-05 20:57
@bbb00091,@KazuhaIDBot,guguk_5.vcf,28-05 20:57
@bbb00091,@KazuhaIDBot,guguk_3.vcf,28-05 20:57
@bbb00091,@KazuhaIDBot,guguk_6.vcf,28-05 20:57
